center 1,center 2
-0.048168242,0.0595984
0.20297521,0.11362971
0.124697424,0.078566305
0.31673408,0.33774635
0.036627706,-0.02466834
0.17843124,0.15395752
0.21514197,0.24243458
-0.33587432,-0.37704286
-0.2261476,-0.26283038
0.0016108621,-0.053804073
0.23604217,0.13941711
0.1855841,0.17065978
0.14607511,0.24997461
0.05156171,0.008790592
0.44576153,0.39208555
-0.10288985,0.025003202
-0.010346653,-0.056309357
0.055056505,0.10796814
0.098853365,0.077628374
-0.08977306,-0.018071428
0.022307113,0.055888504
-0.090729564,-0.06838057
0.14375451,0.10102402
0.112628795,0.1658911
0.04065597,0.16144073
0.25636384,0.24684438
0.13840583,0.09767808
0.08487314,0.07563527
-0.059830762,-0.009026423
0.27091366,0.30646977
0.13356952,0.20384389
0.09644076,0.033466965
0.014639679,0.0013899673
0.19422287,0.07108547
0.004546201,-0.024316683
-0.116813794,-0.14928761
0.046378523,0.027974628
0.073993325,0.19454068
0.062485926,0.13503441
0.08670239,0.09286985
0.16007757,-0.08525192
0.037523292,0.06555919
0.0071926992,-0.032440133
0.2521349,0.09709435
-0.3939918,-0.4419889
-0.23385666,-0.11205133
0.073420316,0.12075668
0.08204428,0.07666187
-0.17747281,-0.23928466
-0.009116754,-0.14564525
0.024454108,0.056194194
-0.019369923,0.046170577
0.2151823,0.13504593
0.10536942,0.06397154
0.2080786,0.20552407
0.018921692,0.038001
0.15082014,0.14095469
0.096498445,0.04161305
-0.14689054,0.06235846
-0.14434806,-0.12749985
0.12399205,0.048605174
-0.100293465,-0.0030954555
-0.13110328,-0.04843007
-0.18968931,-0.28110167
-0.4729743,-0.41138023
-0.1661212,-0.15565638
-0.41275057,-0.24564014
-0.10287938,-0.1594935
0.08693759,0.046010796
-0.085469775,0.050398394
-0.25619847,-0.22825937
-0.050965495,-0.003056705
-0.14868307,-0.12429222
0.1394561,0.11288756
-0.2997466,-0.33831182
0.049233157,0.05558396
-0.12903564,-0.12731473
0.20490345,0.20141284
-0.0015295148,-0.025749492
0.29522586,0.21849646
0.10419729,0.08579212
0.14206865,0.25241917
-0.017187817,0.03314671
-0.09537736,-0.11708237
0.043591104,0.036025308
0.14868315,0.19794331
-0.038068682,0.047523506
0.115570925,0.09714289
0.21921049,0.18256092
-0.3305943,-0.27835953
0.22594342,-0.008821562
0.17337456,0.077076524
0.15373626,0.10039637
-0.29680204,-0.51037574
0.059441656,0.110646494
-0.13133024,-0.05392748
0.15490474,0.11391291
0.17869359,0.12798494
-0.14138572,-0.09877067
-0.39681062,-0.281109
0.021056188,0.005074038
-0.16760425,-0.12019278
-0.4147356,-0.28061238
0.12523888,0.12670569
0.008796312,0.10438119
-0.14987403,-0.08645443
-0.08901445,-0.09099306
0.29056662,0.17010567
0.102407105,0.102351636
0.14379455,0.13043435
0.10673046,0.023693237
0.09972194,0.04050087
0.24900037,0.23751733
0.04049895,0.041639004
0.2812362,0.08032139
-0.053294722,-0.03393437
-0.10618034,-0.05745862
-0.07966488,-0.07251003
0.10264628,0.112746045
-0.2855874,-0.245516
0.23981453,-0.018566549
0.29404694,0.2034212
0.145394,-0.030308843
0.20428911,0.28766716
0.18777432,0.13368341
-0.24990793,-0.6641729
-0.34105185,-0.23882392
-0.1899581,-0.15137695
-0.21004924,-0.11563878
-0.39851204,-0.1939304
-0.057443388,-0.089073636
-0.009002466,0.13759896
0.048922118,-0.061650068
-0.07865416,-0.06442052
-0.33532596,-0.30265814
0.22403307,0.17248477
0.004459936,-0.10756196
-0.0012405533,-0.06166496
-0.062434845,-0.008991841
-0.056241304,-0.09908247
0.016766815,-0.038375385
